bcr_sample_barcode	shipment_portion_bcr_aliquot_barcode	bcr_shipment_portion_uuid	center_id	is_ffpe	plate_id	portion_number	shipment_portion_day_of_shipment	shipment_portion_month_of_shipment	shipment_portion_year_of_shipment
CDE_ID:2673864				CDE_ID:4170557					
TCGA-43-7656-01A	TCGA-43-7656-01A-13-2195-20	8f489848-549d-41e4-9a75-db8aea47589f	20	NO	2195	13	5	3	2012
TCGA-43-7658-01A	TCGA-43-7658-01A-13-2195-20	68a07bc1-8c04-4887-a120-c3efa5e439d2	20	NO	2195	13	5	3	2012
TCGA-52-7810-01A	TCGA-52-7810-01A-13-2195-20	6e66e4f7-d938-4cf6-85e3-ea40f8838b95	20	NO	2195	13	5	3	2012
TCGA-52-7811-01A	TCGA-52-7811-01A-13-2195-20	feb2a011-9826-4922-8fdb-e702a929a793	20	NO	2195	13	5	3	2012
TCGA-52-7812-01A	TCGA-52-7812-01A-13-2195-20	e78b8041-fe48-46e1-b651-a19c69be92e6	20	NO	2195	13	5	3	2012
TCGA-56-7730-01A	TCGA-56-7730-01A-13-2195-20	4b68ddb5-5d40-4009-8269-2262e4b2a97a	20	NO	2195	13	5	3	2012
TCGA-60-2697-01A	TCGA-60-2697-01A-21-2193-20	7125f62c-3ad3-45a5-aa83-a9052c5669ed	20	NO	2193	21	5	3	2012
TCGA-68-7756-01A	TCGA-68-7756-01A-13-2195-20	ed06c7b1-cc32-46c2-810c-310112f4c7a8	20	NO	2195	13	5	3	2012
TCGA-85-7696-01A	TCGA-85-7696-01A-13-2195-20	f20b163a-ad2d-46b0-869e-f6a742d4b8ac	20	NO	2195	13	5	3	2012
TCGA-85-7697-01A	TCGA-85-7697-01A-13-2195-20	2be75562-f756-4876-a44a-9c363f34530f	20	NO	2195	13	5	3	2012
TCGA-85-7698-01A	TCGA-85-7698-01A-13-2195-20	4906559e-b052-4afa-863c-afa098b38d54	20	NO	2195	13	5	3	2012
TCGA-85-7699-01A	TCGA-85-7699-01A-13-2195-20	097a545f-3da7-43fa-a441-f6417346ecb5	20	NO	2195	13	5	3	2012
TCGA-85-7710-01A	TCGA-85-7710-01A-13-2195-20	d8a44db0-50c4-4f6e-bae7-6d42afa90554	20	NO	2195	13	5	3	2012
TCGA-85-7843-01A	TCGA-85-7843-01A-13-2195-20	777f34fc-0425-4901-a25e-8f841fa64f26	20	NO	2195	13	5	3	2012
TCGA-85-7844-01A	TCGA-85-7844-01A-13-2195-20	8e02f3ec-c4a3-447b-b2f3-c215bd907ac7	20	NO	2195	13	5	3	2012
